epoch,	loss,	acc,	val_loss,	val_acc
0,	0.791341,	0.605000,	0.550042,	0.720000
1,	0.552998,	0.722500,	0.480006,	0.795000
2,	0.528637,	0.735500,	0.457782,	0.800000
3,	0.521504,	0.745000,	0.458606,	0.790000
4,	0.524052,	0.742500,	0.425985,	0.815000
5,	0.508058,	0.748000,	0.420490,	0.835000
6,	0.490186,	0.766500,	0.405821,	0.825000
7,	0.458939,	0.784000,	0.385552,	0.820000
8,	0.440230,	0.799000,	0.337365,	0.860000
9,	0.442561,	0.799000,	0.365464,	0.880000
10,	0.430296,	0.803500,	0.338734,	0.870000
11,	0.396670,	0.822500,	0.370907,	0.840000
12,	0.404796,	0.816500,	0.327717,	0.885000
13,	0.410228,	0.821500,	0.347253,	0.865000
14,	0.383607,	0.830500,	0.308806,	0.875000
15,	0.400226,	0.824500,	0.346060,	0.850000
16,	0.382819,	0.819000,	0.331506,	0.875000
17,	0.374754,	0.827500,	0.330796,	0.900000
18,	0.352305,	0.849000,	0.319065,	0.885000
19,	0.366967,	0.834500,	0.299484,	0.875000
20,	0.339595,	0.847000,	0.315833,	0.885000
21,	0.362763,	0.838000,	0.356534,	0.825000
22,	0.344977,	0.845000,	0.287924,	0.905000
23,	0.349143,	0.853500,	0.322089,	0.855000
24,	0.339085,	0.853000,	0.291963,	0.890000
25,	0.328248,	0.855500,	0.278174,	0.915000
26,	0.333844,	0.855500,	0.294067,	0.905000
27,	0.311073,	0.869500,	0.298115,	0.895000
28,	0.314359,	0.865000,	0.319565,	0.890000
29,	0.339843,	0.855000,	0.381863,	0.810000
30,	0.314132,	0.870000,	0.272668,	0.905000
31,	0.299376,	0.864500,	0.292330,	0.900000
32,	0.313222,	0.864000,	0.290150,	0.890000
33,	0.289001,	0.878500,	0.288327,	0.895000
34,	0.271574,	0.886500,	0.298247,	0.900000
35,	0.281599,	0.881000,	0.259250,	0.905000
36,	0.275763,	0.879000,	0.278092,	0.900000
37,	0.284422,	0.882000,	0.273530,	0.890000
38,	0.262399,	0.890000,	0.282733,	0.875000
39,	0.252144,	0.888000,	0.259935,	0.905000
40,	0.261689,	0.896000,	0.271891,	0.895000
41,	0.274062,	0.883000,	0.279954,	0.900000
42,	0.256356,	0.895500,	0.307210,	0.860000
43,	0.252615,	0.892500,	0.253742,	0.900000
44,	0.233978,	0.905000,	0.263654,	0.910000
45,	0.247869,	0.898500,	0.235545,	0.925000
46,	0.225191,	0.905500,	0.240377,	0.920000
47,	0.242178,	0.897000,	0.307306,	0.885000
48,	0.235657,	0.902500,	0.328290,	0.885000
49,	0.239162,	0.905000,	0.267213,	0.890000
50,	0.239373,	0.893500,	0.265026,	0.900000
51,	0.212634,	0.913500,	0.256659,	0.900000
52,	0.212916,	0.916500,	0.231752,	0.925000
53,	0.205889,	0.918000,	0.315454,	0.880000
54,	0.207597,	0.908500,	0.258587,	0.890000
55,	0.200272,	0.916000,	0.236602,	0.910000
56,	0.204510,	0.913500,	0.312298,	0.885000
57,	0.180127,	0.924000,	0.278643,	0.905000
58,	0.173922,	0.930000,	0.296839,	0.910000
59,	0.198473,	0.924500,	0.249467,	0.920000
60,	0.194308,	0.919500,	0.229432,	0.915000
61,	0.164854,	0.930000,	0.232510,	0.910000
62,	0.186980,	0.924000,	0.231268,	0.920000
63,	0.145772,	0.939500,	0.237517,	0.930000
64,	0.164732,	0.944000,	0.299336,	0.910000
65,	0.179106,	0.922500,	0.264001,	0.900000
66,	0.159973,	0.937000,	0.239524,	0.920000
67,	0.170917,	0.930500,	0.246657,	0.910000
68,	0.177354,	0.932000,	0.213345,	0.920000
69,	0.135400,	0.945000,	0.216767,	0.925000
70,	0.161722,	0.940500,	0.187189,	0.945000
71,	0.125626,	0.951500,	0.247836,	0.915000
72,	0.158866,	0.939000,	0.229361,	0.925000
73,	0.149740,	0.938500,	0.209380,	0.935000
74,	0.162732,	0.936000,	0.231955,	0.925000
75,	0.135810,	0.935000,	0.214337,	0.925000
76,	0.131659,	0.950000,	0.242239,	0.940000
77,	0.143708,	0.940000,	0.213273,	0.925000
78,	0.154600,	0.944500,	0.216442,	0.920000
79,	0.120973,	0.948000,	0.274284,	0.915000
80,	0.134075,	0.952000,	0.214591,	0.915000
81,	0.148871,	0.944000,	0.304372,	0.890000
82,	0.158626,	0.940500,	0.186498,	0.960000
83,	0.139973,	0.945000,	0.193979,	0.940000
84,	0.116725,	0.953500,	0.213022,	0.930000
85,	0.119319,	0.954500,	0.230881,	0.920000
86,	0.148677,	0.940500,	0.211788,	0.925000
87,	0.153954,	0.941000,	0.235689,	0.915000
88,	0.127100,	0.952000,	0.203892,	0.940000
89,	0.129899,	0.949000,	0.231001,	0.920000
90,	0.128533,	0.953000,	0.215235,	0.930000
91,	0.105176,	0.958500,	0.224482,	0.925000
92,	0.111729,	0.954000,	0.221213,	0.935000
93,	0.112587,	0.959500,	0.212013,	0.935000
94,	0.125588,	0.948000,	0.225611,	0.930000
95,	0.105072,	0.960000,	0.197831,	0.925000
96,	0.108942,	0.958500,	0.196804,	0.930000
97,	0.100360,	0.961500,	0.251150,	0.920000
98,	0.139258,	0.941000,	0.207597,	0.945000
99,	0.118715,	0.957000,	0.221790,	0.935000
100,	0.120221,	0.955500,	0.247937,	0.910000
101,	0.102963,	0.962000,	0.209234,	0.930000
102,	0.095227,	0.963500,	0.240141,	0.930000
103,	0.101888,	0.957500,	0.198011,	0.920000
104,	0.123869,	0.953000,	0.273682,	0.910000
105,	0.097225,	0.966500,	0.293636,	0.915000
106,	0.116174,	0.950500,	0.191975,	0.935000
107,	0.093224,	0.962000,	0.268212,	0.905000
108,	0.110075,	0.962000,	0.196522,	0.935000
109,	0.111954,	0.955500,	0.193112,	0.925000
110,	0.091336,	0.965500,	0.193853,	0.940000
111,	0.091497,	0.964000,	0.287564,	0.920000
112,	0.093461,	0.961500,	0.177589,	0.935000
113,	0.115539,	0.954500,	0.217773,	0.930000
114,	0.108227,	0.957000,	0.153850,	0.950000
115,	0.098261,	0.964000,	0.225214,	0.945000
116,	0.088120,	0.964500,	0.212092,	0.945000
117,	0.097436,	0.964000,	0.191983,	0.930000
118,	0.091318,	0.967000,	0.219919,	0.945000
119,	0.091724,	0.969000,	0.225582,	0.930000
120,	0.130381,	0.950000,	0.206269,	0.935000
121,	0.098326,	0.960000,	0.199264,	0.940000
122,	0.100569,	0.964500,	0.236637,	0.935000
123,	0.104616,	0.963000,	0.252606,	0.940000
124,	0.086638,	0.963500,	0.159992,	0.950000
125,	0.081811,	0.966500,	0.192779,	0.935000
126,	0.100979,	0.962500,	0.176330,	0.955000
127,	0.085142,	0.966000,	0.205612,	0.935000
128,	0.091994,	0.969000,	0.168170,	0.945000
129,	0.084821,	0.967000,	0.261927,	0.940000
130,	0.080577,	0.971000,	0.233565,	0.925000
131,	0.071670,	0.977500,	0.191002,	0.940000
132,	0.075708,	0.971000,	0.209312,	0.945000
133,	0.071234,	0.970500,	0.245159,	0.935000
134,	0.087523,	0.962000,	0.186700,	0.935000
135,	0.078603,	0.966500,	0.191526,	0.960000
136,	0.079235,	0.970000,	0.200810,	0.940000
137,	0.080407,	0.971500,	0.211368,	0.940000
138,	0.080746,	0.969500,	0.170197,	0.950000
139,	0.076490,	0.971000,	0.212165,	0.925000
140,	0.094761,	0.968000,	0.286463,	0.935000
141,	0.078212,	0.974000,	0.191588,	0.945000
142,	0.098294,	0.963500,	0.223591,	0.940000
143,	0.092524,	0.965000,	0.296418,	0.930000
144,	0.068498,	0.975000,	0.218838,	0.940000
145,	0.074206,	0.973000,	0.242522,	0.930000
146,	0.087968,	0.964500,	0.231202,	0.925000
147,	0.066827,	0.975000,	0.211411,	0.940000
148,	0.090030,	0.968000,	0.193440,	0.955000
149,	0.096006,	0.962000,	0.236565,	0.935000
150,	0.072687,	0.973000,	0.192710,	0.940000
151,	0.075832,	0.970000,	0.239158,	0.940000
152,	0.057772,	0.982000,	0.202573,	0.955000
153,	0.063754,	0.977000,	0.195078,	0.950000
154,	0.068797,	0.976500,	0.273006,	0.940000
155,	0.075841,	0.972500,	0.298810,	0.945000
156,	0.086660,	0.971000,	0.197525,	0.960000
157,	0.105756,	0.958500,	0.179968,	0.940000
158,	0.067917,	0.972500,	0.224265,	0.940000
159,	0.097865,	0.965000,	0.198352,	0.940000
160,	0.076194,	0.971500,	0.224473,	0.945000
161,	0.077468,	0.972000,	0.207710,	0.940000
162,	0.057624,	0.978000,	0.264755,	0.935000
163,	0.057274,	0.981000,	0.188117,	0.940000
164,	0.056344,	0.976500,	0.190761,	0.940000
165,	0.065910,	0.978000,	0.228377,	0.935000